GeneID	codechain	code	chain	TM	RMSD	AApc	Cov	Cscore	C_sd	TM_model	TM_model_sd	RMSD_model	RMSD_model_sd	GDB_AA	seq.ssLen	nHrc	nErc	nCrc	strucSum	strpPDB_AA	PDB_AA	Species	Molecule
1	GL50803_10013	1ciiA	1CII	A	0.6084	3.58	0.069	0.7955	-2.46	0.666711	0.43	0.14	11.2	4.6	220	220	210	0	10	220	602	602	Escherichia_coli	COLICIN_IA
2	GL50803_10014	2ynsA	2YNS	A	0.935	1.89	0.094	0.9875	-1.73	1.27013	0.51	0.15	10.9	4.6	400	400	358	2	40	400	490	490	Oryza_sativa_Japonica_Group	IMPORTIN_SUBUNIT_ALPHA-1A
3	GL50803_10016	3idvA	3IDV	A	0.6839	1.9	0.127	0.7192	-2.79	0.352102	0.4	0.13	13	4.2	317	317	232	6	79	317	241	241	Homo_sapiens	Protein_disulfide-isomerase_A4
4	GL50803_10025	4k1pA	4K1P	A	0.8945	1.39	0.097	0.9378	-2.17	1.2293	0.46	0.15	10.7	4.6	241	241	183	0	58	241	360	360	Bacillus_cereus	NheA
5	GL50803_10027	4k1pA	4K1P	A	0.8219	2.03	0.128	0.9044	-2.24	0.975898	0.45	0.14	11	4.6	251	251	236	0	15	251	360	360	Bacillus_cereus	NheA
6	GL50803_100283	3euhB2	3EUH	B	0.7249	2.2	0.081	0.9737	-2.77	0.304434	0.4	0.13	9.3	4.6	76	76	62	0	14	76	440	440	Escherichia_coli_K-12	Chromosome_partition_protein_mukF
7	GL50803_10033	4k1pA	4K1P	A	0.8806	2.56	0.081	0.9642	-2.44	1.0605	0.43	0.14	12	4.4	307	307	241	0	66	307	360	360	Bacillus_cereus	NheA
8	GL50803_10036	1m9iA	1M9I	A	0.7994	3.76	0.114	0.9507	-0.79	1.08051	0.61	0.14	8.4	4.5	365	365	309	0	56	365	672	672	Homo_sapiens	Annexin_VI
9	GL50803_10038	4evfA	4EVF	A	0.9597	1.29	0.172	0.9965	1.16	0	0.87	0.07	3.7	2.5	286	286	247	0	39	286	295	295	Giardia_intestinalis	Giardin_subunit_alpha-1
10	GL50803_100413	1mn1A	1MN1	A	0.6224	2.92	0.046	0.9091	-1.98	1.08825	0.48	0.15	7.2	4.2	66	66	27	0	39	66	357	357	Phanerochaete_chrysosporium	MANGANESE_PEROXIDASE
