struc1	struc2	TM
GL_101307	GL_101307	1
GL_101534	GL_101307	0.70748
GL_101866	GL_101307	0.69035
GL_102034	GL_101307	0.30087
GL_102542	GL_101307	0.61293
GL_103944	GL_101307	0.25954
GL_10744	GL_101307	0.55927
GL_10893	GL_101307	0.73526
GL_11040	GL_101307	0.86252
GL_111938	GL_101307	0.87081
GL_112518	GL_101307	0.66286
GL_112553	GL_101307	0.88637
GL_113030	GL_101307	0.69152
GL_113094	GL_101307	0.28974
GL_11311	GL_101307	0.86964
GL_113553	GL_101307	0.71956
GL_11390	GL_101307	0.68302
GL_114120	GL_101307	0.3393
GL_114192	GL_101307	0.50078
GL_114307	GL_101307	0.27725
GL_114495	GL_101307	0.85195
GL_114535	GL_101307	0.45704
GL_114937	GL_101307	0.68415
GL_11554	GL_101307	0.72469
GL_119989	GL_101307	0.7224
GL_12095	GL_101307	0.69913
GL_12148	GL_101307	0.67602
GL_12152	GL_101307	0.67121
GL_12240	GL_101307	0.7687
GL_13215	GL_101307	0.62139
GL_13479	GL_101307	0.27417
GL_137676	GL_101307	0.86543
GL_137696	GL_101307	0.41347
GL_137701	GL_101307	0.61853
GL_137706	GL_101307	0.6937
GL_137719	GL_101307	0.8306
GL_137728	GL_101307	0.46761
GL_137733	GL_101307	0.7078
GL_137735	GL_101307	0.75972
GL_137737	GL_101307	0.44875
GL_137742	GL_101307	0.66403
GL_137743	GL_101307	0.665
GL_13921	GL_101307	0.7799
GL_13963	GL_101307	0.78705
GL_13964	GL_101307	0.73555
GL_13981	GL_101307	0.35856
GL_14044	GL_101307	0.69841
GL_14216	GL_101307	0.6668
GL_14223	GL_101307	0.77603
GL_14648	GL_101307	0.75966
GL_14742	GL_101307	0.70617
GL_14786	GL_101307	0.30501
GL_14835	GL_101307	0.35045
GL_14897	GL_101307	0.32379
GL_14916	GL_101307	0.65614
GL_15035	GL_101307	0.7578
GL_15049	GL_101307	0.68739
GL_15064	GL_101307	0.84829
GL_15338	GL_101307	0.73096
GL_15409	GL_101307	0.7081
GL_15411	GL_101307	0.68814
GL_15479	GL_101307	0.68823
GL_15953	GL_101307	0.35288
GL_16049	GL_101307	0.66705
GL_16122	GL_101307	0.30664
GL_16167	GL_101307	0.2709
GL_16205	GL_101307	0.67586
GL_16251	GL_101307	0.71923
GL_16272	GL_101307	0.29207
GL_16279	GL_101307	0.66174
GL_16460	GL_101307	0.33546
GL_16479	GL_101307	0.55378
GL_16508	GL_101307	0.31535
GL_16733	GL_101307	0.73991
GL_16765	GL_101307	0.68175
GL_16792	GL_101307	0.85988
GL_16824	GL_101307	0.68374
GL_16826	GL_101307	0.86335
GL_16839	GL_101307	0.68392
GL_16862	GL_101307	0.68346
GL_16879	GL_101307	0.42748
GL_16889	GL_101307	0.55706
GL_16943	GL_101307	0.44461
GL_16952	GL_101307	0.75351
GL_16967	GL_101307	0.29898
GL_16988	GL_101307	0.83739
