GeneID	source	PFAMpref	Desc	GDBpfam_start	GDBpfam_end	pVal
GL50803_115830	InterproscanData_RSRC	PF03302	VSP	19	201	4.4e-9
GL50803_115830	InterproscanData_RSRC	PF03302	VSP	288	497	3.8e-27
GL50803_115830	InterproscanData_RSRC	PF03302	VSP	488	633	9.3e-45
GL50803_115831	InterproscanData_RSRC	PF03302	VSP	19	201	4.4e-9
GL50803_115831	InterproscanData_RSRC	PF03302	VSP	288	497	3.8e-27
GL50803_115831	InterproscanData_RSRC	PF03302	VSP	488	633	9.3e-45
GL50803_11055	InterproscanData_RSRC	PF04153	NOT2_3_5	108	177	4.8e-9
GL50803_11052	InterproscanData_RSRC	PF13920	zf-C3HC4_3	199	244	6.8e-13
GL50803_15334	InterproscanData_RSRC	PF10367	Vps39_2	1648	1721	2e-4
GL50803_103074	InterproscanData_RSRC	PF00328	His_Phos_2	484	751	6e-7
GL50803_103074	InterproscanData_RSRC	PF00328	His_Phos_2	1615	2117	5.4e-25
GL50803_103074	InterproscanData_RSRC	PF08443	RimK	252	342	3.3e-5
GL50803_113522	InterproscanData_RSRC	PF00069	Pkinase	17	313	3e-48
GL50803_8465	InterproscanData_RSRC	PF00023	Ank	446	471	0.0018
GL50803_8465	InterproscanData_RSRC	PF12796	Ank_2	36	118	2.7e-9
GL50803_8465	InterproscanData_RSRC	PF12796	Ank_2	359	444	3.7e-13
GL50803_8465	InterproscanData_RSRC	PF12796	Ank_2	482	560	1.8e-12
GL50803_8465	InterproscanData_RSRC	PF12796	Ank_2	570	627	2.7e-7
GL50803_8462	InterproscanData_RSRC	PF01777	Ribosomal_L27e	50	132	3.4e-26
GL50803_8462	InterproscanData_RSRC	PF00467	KOW	11	33	7.1e-5
GL50803_22385	InterproscanData_RSRC	PF12796	Ank_2	721	804	3.1e-16
GL50803_22385	InterproscanData_RSRC	PF12796	Ank_2	831	910	1.3e-15
GL50803_14713	InterproscanData_RSRC	PF10498	IFT57	15	374	1.3e-97
GL50803_8456	InterproscanData_RSRC	PF03133	TTL	73	444	1.1e-48
GL50803_4341	InterproscanData_RSRC	PF13418	Kelch_4	120	164	7.5e-8
GL50803_91056	InterproscanData_RSRC	PF00155	Aminotran_1_2	29	416	6.6e-68
GL50803_27059	InterproscanData_RSRC	PF00227	Proteasome	65	244	6.7e-45
GL50803_13606	InterproscanData_RSRC	PF02493	MORN	30	51	1.6e-5
GL50803_13606	InterproscanData_RSRC	PF02493	MORN	53	69	0.1
GL50803_13606	InterproscanData_RSRC	PF02493	MORN	121	139	0.036
GL50803_13606	InterproscanData_RSRC	PF02493	MORN	208	230	1.9e-4
GL50803_4349	InterproscanData_RSRC	PF13847	Methyltransf_31	47	165	7.4e-13
GL50803_113512	InterproscanData_RSRC	PF03302	VSP	16	219	8.5e-17
GL50803_113512	InterproscanData_RSRC	PF03302	VSP	279	463	8e-30
GL50803_113512	InterproscanData_RSRC	PF03302	VSP	459	593	1e-42
GL50803_137740	InterproscanData_RSRC	PF03302	VSP	322	451	1.2e-22
GL50803_93221	InterproscanData_RSRC	PF00069	Pkinase	7	210	2.2e-23
GL50803_93221	InterproscanData_RSRC	PF12796	Ank_2	318	408	6.2e-15
GL50803_10632	InterproscanData_RSRC	PF00023	Ank	549	570	0.0078
GL50803_10632	InterproscanData_RSRC	PF00023	Ank	637	659	0.017
GL50803_10632	InterproscanData_RSRC	PF12796	Ank_2	44	124	1.2e-10
GL50803_10632	InterproscanData_RSRC	PF12796	Ank_2	279	341	6.4e-11
GL50803_10632	InterproscanData_RSRC	PF12796	Ank_2	463	541	3e-10
GL50803_10632	InterproscanData_RSRC	PF12796	Ank_2	783	856	3.3e-7
GL50803_10632	InterproscanData_RSRC	PF12796	Ank_2	899	983	1.5e-12
GL50803_88082	InterproscanData_RSRC	PF07718	Coatamer_beta_C	785	1044	2.6e-31
GL50803_88082	InterproscanData_RSRC	PF01602	Adaptin_N	16	206	1.5e-16
GL50803_102890	InterproscanData_RSRC	PF00400	WD40	97	127	0.014
GL50803_102890	InterproscanData_RSRC	PF00400	WD40	12	40	0.0021
GL50803_102890	InterproscanData_RSRC	PF00400	WD40	51	81	0.0013
GL50803_102890	InterproscanData_RSRC	PF00400	WD40	259	286	0.0038
GL50803_15256	InterproscanData_RSRC	PF01255	Prenyltransf	9	238	4.8e-72
GL50803_10623	InterproscanData_RSRC	PF00821	PEPCK	28	624	0
GL50803_15255	InterproscanData_RSRC	PF06203	CCT	127	170	2.2e-5
GL50803_17613	InterproscanData_RSRC	PF12796	Ank_2	398	473	7.9e-8
GL50803_17613	InterproscanData_RSRC	PF12796	Ank_2	490	571	2e-8
GL50803_17613	InterproscanData_RSRC	PF12796	Ank_2	642	706	2.1e-11
GL50803_17613	InterproscanData_RSRC	PF12796	Ank_2	782	864	2.1e-9
GL50803_17613	InterproscanData_RSRC	PF12796	Ank_2	938	1019	3.2e-8
GL50803_17613	InterproscanData_RSRC	PF12796	Ank_2	1324	1407	1e-16
GL50803_6340	InterproscanData_RSRC	PF09805	Nop25	32	124	2.7e-9
GL50803_6342	InterproscanData_RSRC	PF12796	Ank_2	431	507	9.9e-7
GL50803_6342	InterproscanData_RSRC	PF12796	Ank_2	764	856	2.6e-14
GL50803_6342	InterproscanData_RSRC	PF12796	Ank_2	868	960	2e-8
GL50803_6342	InterproscanData_RSRC	PF12796	Ank_2	1135	1218	1.9e-15
GL50803_102893	InterproscanData_RSRC	PF12796	Ank_2	551	632	6.2e-10
GL50803_102893	InterproscanData_RSRC	PF12796	Ank_2	759	854	7.2e-10
GL50803_102893	InterproscanData_RSRC	PF12796	Ank_2	1070	1160	7.6e-15
GL50803_102893	InterproscanData_RSRC	PF12796	Ank_2	1163	1218	3.4e-9
GL50803_6344	InterproscanData_RSRC	PF12796	Ank_2	31	124	7.3e-12
GL50803_6344	InterproscanData_RSRC	PF12796	Ank_2	126	185	3.4e-8
GL50803_6346	InterproscanData_RSRC	PF00069	Pkinase	162	422	2.3e-38
GL50803_8983	InterproscanData_RSRC	PF12796	Ank_2	40	118	9.1e-10
GL50803_8983	InterproscanData_RSRC	PF12796	Ank_2	751	830	1.6e-8
GL50803_8983	InterproscanData_RSRC	PF12796	Ank_2	856	934	4.6e-9
GL50803_88071	InterproscanData_RSRC	PF00023	Ank	610	631	0.0063
GL50803_88071	InterproscanData_RSRC	PF12796	Ank_2	370	450	6.7e-9
GL50803_88071	InterproscanData_RSRC	PF12796	Ank_2	514	598	4.6e-12
GL50803_8978	InterproscanData_RSRC	PF00686	CBM_20	257	352	6.6e-10
GL50803_8978	InterproscanData_RSRC	PF02446	Glyco_hydro_77	458	637	7.6e-17
GL50803_8978	InterproscanData_RSRC	PF02446	Glyco_hydro_77	701	1196	2.8e-72
GL50803_23330	InterproscanData_RSRC	PF00612	IQ	35	51	0.018
GL50803_23330	InterproscanData_RSRC	PF00612	IQ	94	109	8.7e-4
GL50803_27910	InterproscanData_RSRC	PF00581	Rhodanese	22	106	2.5e-5
GL50803_6589	InterproscanData_RSRC	PF12796	Ank_2	39	121	2.2e-16
GL50803_6589	InterproscanData_RSRC	PF13920	zf-C3HC4_3	883	925	1.4e-10
GL50803_6590	InterproscanData_RSRC	PF05189	RTC_insert	177	276	2.1e-20
GL50803_6590	InterproscanData_RSRC	PF01137	RTC	9	330	1.9e-40
GL50803_14247	InterproscanData_RSRC	PF07690	MFS_1	88	476	4.3e-22
GL50803_17608	InterproscanData_RSRC	PF12796	Ank_2	52	115	2.8e-8
GL50803_17608	InterproscanData_RSRC	PF12796	Ank_2	235	319	1.4e-13
GL50803_17608	InterproscanData_RSRC	PF12796	Ank_2	427	516	9.6e-15
GL50803_17608	InterproscanData_RSRC	PF13857	Ank_5	320	361	2.8e-6
GL50803_17607	InterproscanData_RSRC	PF00112	Peptidase_C1	77	336	3.9e-31
GL50803_5845	InterproscanData_RSRC	PF01201	Ribosomal_S8e	1	159	6.2e-44
GL50803_14038	InterproscanData_RSRC	PF13419	HAD_2	16	195	2.6e-24
GL50803_23325	InterproscanData_RSRC	PF13237	Fer4_10	4	52	3.1e-7
GL50803_106496	InterproscanData_RSRC	PF12796	Ank_2	88	170	1.4e-13
GL50803_114495	InterproscanData_RSRC	PF00069	Pkinase	48	276	6.8e-26
GL50803_17604	InterproscanData_RSRC	PF12796	Ank_2	55	144	5.8e-15
GL50803_17604	InterproscanData_RSRC	PF12796	Ank_2	153	204	4.1e-8
GL50803_27806	InterproscanData_RSRC	PF00249	Myb_DNA-binding	36	69	7.6e-6
GL50803_102921	InterproscanData_RSRC	PF07690	MFS_1	32	507	4.3e-9
GL50803_6304	InterproscanData_RSRC	PF12838	Fer4_7	24	79	3.9e-9
GL50803_6304	InterproscanData_RSRC	PF02256	Fe_hyd_SSU	413	466	1.1e-7
GL50803_6304	InterproscanData_RSRC	PF02906	Fe_hyd_lg_C	100	409	3.9e-69
GL50803_23314	InterproscanData_RSRC	PF12796	Ank_2	56	139	3.8e-10
GL50803_23314	InterproscanData_RSRC	PF12796	Ank_2	267	344	4.5e-8
GL50803_23314	InterproscanData_RSRC	PF12796	Ank_2	471	532	1.6e-6
GL50803_11540	InterproscanData_RSRC	PF00083	Sugar_tr	52	495	2.6e-83
GL50803_15429	InterproscanData_RSRC	PF03199	GSH_synthase	179	286	2.3e-6
GL50803_15429	InterproscanData_RSRC	PF03917	GSH_synth_ATP	335	448	2.1e-12
GL50803_16802	InterproscanData_RSRC	PF00069	Pkinase	8	289	6.8e-74
GL50803_16803	InterproscanData_RSRC	PF00571	CBS	398	458	0.0031
GL50803_16803	InterproscanData_RSRC	PF01595	DUF21	12	174	1.5e-26
GL50803_11554	InterproscanData_RSRC	PF00069	Pkinase	9	260	8.6e-34
GL50803_16804	InterproscanData_RSRC	PF08385	DHC_N1	217	355	3.2e-25
GL50803_16804	InterproscanData_RSRC	PF08385	DHC_N1	408	827	3.6e-63
GL50803_16804	InterproscanData_RSRC	PF08393	DHC_N2	1561	1974	1e-123
GL50803_16804	InterproscanData_RSRC	PF12774	AAA_6	2106	2277	8.4e-73
GL50803_104982	InterproscanData_RSRC	PF03671	Ufm1	25	93	1.2e-6
GL50803_23300	InterproscanData_RSRC	PF00240	ubiquitin	24	83	1e-10
GL50803_137742	InterproscanData_RSRC	PF00069	Pkinase	13	212	1.5e-25
GL50803_137742	InterproscanData_RSRC	PF12796	Ank_2	306	395	8e-14
GL50803_115444	InterproscanData_RSRC	PF00023	Ank	39	61	0.0034
GL50803_115444	InterproscanData_RSRC	PF12796	Ank_2	71	152	1.2e-9
GL50803_114470	InterproscanData_RSRC	PF03302	VSP	15	219	1.4e-14
GL50803_114470	InterproscanData_RSRC	PF03302	VSP	279	462	2.3e-29
GL50803_114470	InterproscanData_RSRC	PF03302	VSP	459	584	1.4e-35
GL50803_115445	InterproscanData_RSRC	PF00023	Ank	39	61	0.0034
GL50803_115445	InterproscanData_RSRC	PF12796	Ank_2	71	152	1.2e-9
GL50803_137743	InterproscanData_RSRC	PF00069	Pkinase	13	212	1.5e-25
GL50803_137743	InterproscanData_RSRC	PF12796	Ank_2	306	395	8e-14
GL50803_137744	InterproscanData_RSRC	PF03302	VSP	207	247	2.6e-19
GL50803_16945	InterproscanData_RSRC	PF00225	Kinesin	189	514	9.3e-96
GL50803_16945	InterproscanData_RSRC	PF00536	SAM_1	5	61	6.1e-7
GL50803_10341	InterproscanData_RSRC	PF00687	Ribosomal_L1	34	226	2.2e-11
GL50803_10335	InterproscanData_RSRC	PF02390	Methyltransf_4	65	212	1.1e-30
GL50803_16943	InterproscanData_RSRC	PF00069	Pkinase	11	260	2.4e-18
GL50803_16943	InterproscanData_RSRC	PF12796	Ank_2	290	367	1.7e-10
GL50803_16943	InterproscanData_RSRC	PF12796	Ank_2	630	714	7.8e-17
GL50803_16943	InterproscanData_RSRC	PF12796	Ank_2	725	840	1.1e-7
GL50803_16943	InterproscanData_RSRC	PF13637	Ank_4	565	614	1e-6
GL50803_10329	InterproscanData_RSRC	PF13187	Fer4_9	9	57	1.3e-9
GL50803_96994	InterproscanData_RSRC	PF05739	SNARE	212	273	2.6e-15
GL50803_10324	InterproscanData_RSRC	PF00834	Ribul_P_3_epim	4	94	5.3e-31
GL50803_10324	InterproscanData_RSRC	PF00834	Ribul_P_3_epim	117	221	9.5e-31
GL50803_112368	InterproscanData_RSRC	PF01504	PIP5K	76	131	6.8e-11
GL50803_10313	InterproscanData_RSRC	PF00069	Pkinase	4	207	1.6e-22
GL50803_10311	InterproscanData_RSRC	PF00185	OTCace	159	319	2e-46
GL50803_10311	InterproscanData_RSRC	PF02729	OTCace_N	7	147	1.4e-41
GL50803_137745	InterproscanData_RSRC	PF02463	SMC_N	2	1197	1.8e-39
GL50803_137745	InterproscanData_RSRC	PF06470	SMC_hinge	504	620	2.2e-13
GL50803_4838	InterproscanData_RSRC	PF01008	IF-2B	566	772	4.9e-27
GL50803_16936	InterproscanData_RSRC	PF07974	EGF_2	390	415	8.6e-5
GL50803_5786	InterproscanData_RSRC	PF03587	EMG1	23	225	5.7e-67
GL50803_27614	InterproscanData_RSRC	PF02502	LacAB_rpiB	2	141	4.3e-53
GL50803_16934	InterproscanData_RSRC	PF00515	TPR_1	636	657	4.4e-4
GL50803_16934	InterproscanData_RSRC	PF00515	TPR_1	1213	1244	4.4e-4
GL50803_16934	InterproscanData_RSRC	PF07719	TPR_2	934	961	0.025
GL50803_16934	InterproscanData_RSRC	PF13371	TPR_9	571	628	1.3
GL50803_16934	InterproscanData_RSRC	PF13414	TPR_11	14	80	4.2e-11
GL50803_16934	InterproscanData_RSRC	PF13414	TPR_11	116	180	4.1e-13
GL50803_16934	InterproscanData_RSRC	PF13414	TPR_11	324	380	5.8e-9
GL50803_95717	InterproscanData_RSRC	PF00069	Pkinase	9	279	1.4e-54
GL50803_95717	InterproscanData_RSRC	PF12796	Ank_2	712	794	5.7e-14
GL50803_95717	InterproscanData_RSRC	PF12796	Ank_2	802	887	3.1e-14
GL50803_95717	InterproscanData_RSRC	PF12796	Ank_2	895	942	9.9e-9
GL50803_17190	InterproscanData_RSRC	PF03463	eRF1_1	15	144	2.6e-20
GL50803_17190	InterproscanData_RSRC	PF03464	eRF1_2	150	287	4.2e-42
GL50803_17190	InterproscanData_RSRC	PF03465	eRF1_3	290	432	4.6e-35
GL50803_13346	InterproscanData_RSRC	PF08423	Rad51	110	366	4e-126
GL50803_3414	InterproscanData_RSRC	PF00571	CBS	21	77	6.2e-5
GL50803_3414	InterproscanData_RSRC	PF00571	CBS	132	177	8.2e-9
GL50803_3414	InterproscanData_RSRC	PF00571	CBS	200	244	3.8e-5
GL50803_3414	InterproscanData_RSRC	PF00571	CBS	278	323	8.3e-6
GL50803_17188	InterproscanData_RSRC	PF00069	Pkinase	16	268	1.9e-34
GL50803_17188	InterproscanData_RSRC	PF12796	Ank_2	382	443	2.6e-8
GL50803_17188	InterproscanData_RSRC	PF12796	Ank_2	449	506	2.1e-8
GL50803_17188	InterproscanData_RSRC	PF12796	Ank_2	512	585	3.5e-7
GL50803_17188	InterproscanData_RSRC	PF12796	Ank_2	614	701	3.9e-14
GL50803_17187	InterproscanData_RSRC	PF00562	RNA_pol_Rpb2_6	763	1142	3.9e-109
GL50803_17187	InterproscanData_RSRC	PF04560	RNA_pol_Rpb2_7	1145	1234	9.2e-24
